name,tier,espn_id,score,is_cut,holes_played
Scottie Scheffler,1,,0,false,0
Jon Rahm,1,,0,false,0
Rory McIlroy,1,,0,false,0
Bryson DeChambeau,1,,0,false,0
Ludvig Aberg,1,,0,false,0
Xander Schauffele,1,,0,false,0
Cameron Young,1,,0,false,0
Tommy Fleetwood,1,,0,false,0
Matt Fitzpatrick,1,,0,false,0
Collin Morikawa,1,,0,false,0
Justin Rose,2,,0,false,0
Brooks Koepka,2,,0,false,0
Jordan Spieth,2,,0,false,0
Hideki Matsuyama,2,,0,false,0
Robert MacIntyre,2,,0,false,0
Russell Henley,2,,0,false,0
Chris Gotterup,2,,0,false,0
Patrick Reed,2,,0,false,0
Viktor Hovland,2,,0,false,0
Si Woo Kim,2,,0,false,0
Min Woo Lee,3,,0,false,0
Justin Thomas,3,,0,false,0
Patrick Cantlay,3,,0,false,0
Adam Scott,3,,0,false,0
Akshay Bhatia,3,,0,false,0
Sepp Straka,3,,0,false,0
Jake Knapp,3,,0,false,0
Jason Day,3,,0,false,0
Tyrrell Hatton,3,,0,false,0
Shane Lowry,3,,0,false,0
Sam Burns,4,,0,false,0
Corey Conners,4,,0,false,0
Nicolai Hojgaard,4,,0,false,0
J.J. Spaun,4,,0,false,0
Kurt Kitayama,4,,0,false,0
Jacob Bridgeman,4,,0,false,0
Maverick McNealy,4,,0,false,0
Cameron Smith,4,,0,false,0
Matthew McCarty,4,,0,false,0
Harris English,4,,0,false,0
Ben Griffin,5,,0,false,0
Daniel Berger,5,,0,false,0
Gary Woodland,5,,0,false,0
Max Homa,5,,0,false,0
Sungjae Im,5,,0,false,0
Rasmus Hojgaard,5,,0,false,0
Keegan Bradley,5,,0,false,0
Harry Hall,5,,0,false,0
Marco Penge,5,,0,false,0
Alexander Noren,5,,0,false,0
Ryan Gerard,6,,0,false,0
Aaron Rai,6,,0,false,0
Nick Taylor,6,,0,false,0
Brian Harman,6,,0,false,0
Sam Stevens,6,,0,false,0
Ryan Fox,6,,0,false,0
Sergio Garcia,6,,0,false,0
Wyndham Clark,6,,0,false,0
Max Greyserman,6,,0,false,0
Dustin Johnson,6,,0,false,0
Casey Jarvis,6,,0,false,0
Carlos Ortiz,6,,0,false,0
Hao-Tong Li,6,,0,false,0
Tom McKibbin,6,,0,false,0
Kristoffer Reitan,6,,0,false,0
Nicolas Echavarria,6,,0,false,0
Rasmus Neergaard-Petersen,6,,0,false,0
John Keefer,6,,0,false,0
Michael Kim,6,,0,false,0
Andrew Novak,6,,0,false,0
Aldrich Potgieter,6,,0,false,0
Michael Brennan,6,,0,false,0
Sami Valimaki,6,,0,false,0
Bubba Watson,6,,0,false,0
Charl Schwartzel,6,,0,false,0
Davis Riley,6,,0,false,0
Zach Johnson,6,,0,false,0
Brian Campbell,6,,0,false,0
Danny Willett,6,,0,false,0
Ethan Fang,6,,0,false,0
Fifa Laopakdee,6,,0,false,0
Angel Cabrera,6,,0,false,0
Jackson Herrington,6,,0,false,0
Mason Howell,6,,0,false,0
Mateo Pulcini,6,,0,false,0
Naoyuki Kataoka,6,,0,false,0
Vijay Singh,6,,0,false,0
Brandon Holtz,6,,0,false,0
Fred Couples,6,,0,false,0
Jose Maria Olazabal,6,,0,false,0
Mike Weir,6,,0,false,0
